Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14256231532,..,..,..,..,..,..
Afghanistan,AFG,Urban population,SP.URB.TOTL,739590,779908,822904,868543,917278,968995,1023863,1081865,1143785,1210486,1282731,1360662,1443674,1530661,1620159,1710139,1801366,1893094,1980100,2053888,2077477,2079495,2063148,2036424,2011386,1998170,1998047,2011948,2050008,2124445,2243548,2416430,2639936,2893730,3147535,3378356,3574379,3741760,3897491,4068951,4276353,4527917,4816900,5128931,5441724,5739959,6016861,6278103,6535829,6808693,7111214,7449134,7817901,8209305,8609463,9008656,9402875
Afghanistan,AFG,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,285352,300359,316177,332829,350382,368809,388232,408087,428363,449585,471891,495303,528508,573161,621656,674254,731385,793178,860289,932388,977824,1025339,1075233,1127555,1182500,1239961,1300299,1358525,1419444,1482916,1549320,1618697,1691283,1766910,1846031,1928694,2015181,2105292,2199565,2298059,2401109,2508477,2620804,2738161,2860946,2989237,3123281,3263335,3409670,3562567,3722320,3889237,4063639,4245861,4436255,4634875,4841535
Afghanistan,AFG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Urban population (% of total),SP.URB.TOTL.IN.ZS,8.221,8.508,8.805,9.11,9.426,9.75,10.085,10.43,10.786,11.152,11.529,11.917,12.316,12.726,13.149,13.583,14.029,14.487,14.958,15.435,15.681,15.93,16.182,16.437,16.696,16.958,17.223,17.491,17.763,18.038,18.316,18.597,18.882,19.17,19.462,19.757,20.055,20.356,20.661,20.97,21.282,21.596,21.915,22.237,22.562,22.895,23.237,23.587,23.946,24.313,24.689,25.074,25.468,25.871,26.282,26.703,27.132
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,5.256151454,5.307998541,5.366358345,5.397754765,5.459349369,5.484886312,5.507855567,5.510367509,5.565653454,5.667899363,5.796946694,5.897994722,5.921990719,5.850841504,5.682462432,5.405036118,5.197061222,4.966726164,4.493482086,3.658723379,1.141959442,0.097089909,-0.789210407,-1.303764322,-1.23712918,-0.659227499,-0.006155822,0.69332035,1.874028861,3.566689621,5.454794955,7.423270302,8.846343007,9.179165294,8.407327943,7.076959383,5.640225413,4.576463421,4.07769238,4.30522139,4.971531687,5.71614668,6.186855728,6.276668778,5.919866702,5.335614502,4.711362731,4.250217003,4.023132964,4.090098368,4.347279657,4.642480936,4.831832018,4.885216281,4.759368014,4.532394575,4.282960067
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8013233122,8689883606,8781610175,9762978844,10305228125,11721187594,12144482858,14697331941,15936800636,16911126453,19352203806,19731337261,19990317161,20212720937,20663923801
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8547E+11,2.01132E+11,2.03255E+11,2.25969E+11,2.3852E+11,2.71293E+11,2.8109E+11,3.40177E+11,3.68865E+11,3.91416E+11,4.47916E+11,4.56692E+11,4.62686E+11,4.67833E+11,4.78277E+11
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,24200001500,24700000300,24600000500,33800003600,36000002000,45299998700,62999998500,75300003800,61800001500,63400001500,78699896800,82399903700,71799996400,77999996900,96999997400,1.065E+11,1.15E+11,1.329E+11,1.485E+11,1.616E+11,1.606E+11,1.722E+11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.33987E+11,1.85471E+11,2.24696E+11,2.52597E+11,3.11436E+11,3.52308E+11,4.90403E+11,5.19186E+11,6.15083E+11,7.29901E+11,8.56323E+11,1.06131E+12,1.13315E+12,1.15082E+12,1.22796E+12,1.32142E+12
